,content,id,stems,edge_weights,prototypicality,cdf
0,Make your own invisible cloak.,1279,"set([u'invis', u'make', u'cloak'])","[0.07142857142857142, 1.0, 0.07142857142857142]",0.6,"[0.0, 0.66666666666666674, 0.66666666666666674, 0.66666666666666674, 0.66666666666666674, 0.66666666666666674, 0.66666666666666674, 0.66666666666666674, 0.66666666666666674, 1.0]"
1,A tent that blends in with its sorouundings,1942,"set([u'a', u'sorouund', u'blend', u'tent'])","[0.2, 0.2, 0.2, 1.0, 1.0, 1.0]",0.7,"[0.0, 0.0, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 1.0]"
2,invisibility cloak,2023,"set([u'invis', u'cloak'])",[1.0],0.8,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]"
3,an indoor mural that can change,208,"set([u'chang', u'indoor', u'mural'])","[0.041666666666666664, 0.041666666666666664, 1.0]",0.6,"[0.0, 0.66666666666666674, 0.66666666666666674, 0.66666666666666674, 0.66666666666666674, 0.66666666666666674, 0.66666666666666674, 0.66666666666666674, 0.66666666666666674, 1.0]"
4,Use fabric in frames as a scrolling picture display like an electronic frame but larger and lighter.,504,"set([u'use', u'fabric', u'pictur', u'frame', u'larger', u'scroll', u'electron', u'lighter', u'display', u'like'])","[0.10810810810810811, 0.03125, 0.06451612903225806, 0.06666666666666667, 0.03333333333333333, 0.03333333333333333, 0.03333333333333333, 0.11627906976744186, 0.08571428571428572, 0.07692307692307693, 0.07692307692307693, 0.08333333333333333, 0.09090909090909091, 0.09090909090909091, 0.09090909090909091, 0.2608695652173913, 0.11764705882352941, 0.5, 0.25, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.05, 0.1, 0.25, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.05, 0.1, 0.5, 0.5, 0.5, 0.05263157894736842, 0.1111111111111111, 1.0, 1.0, 0.05555555555555555, 0.125, 1.0, 0.05555555555555555, 0.125, 0.05555555555555555, 0.125, 0.13043478260869565]",0.4,"[0.0, 0.51111111111111118, 0.64444444444444449, 0.84444444444444455, 0.84444444444444455, 0.93333333333333335, 0.93333333333333335, 0.93333333333333335, 0.93333333333333335, 1.0]"
5,"It would be great for making a canvas for artists that can then change based on how the artist programs it - different things appear at a different time of day, for example.",803,"set([u'program', u'great', u'appear', u'would', u'artist', u'make', u'it', u'exampl', u'thing', u'base', u'time', u'canva', u'chang', u'differ', u'day'])","[0.3333333333333333, 0.3333333333333333, 0.5, 0.5, 0.07142857142857142, 0.14285714285714285, 0.3333333333333333, 0.25, 0.16666666666666666, 0.25, 0.3333333333333333, 0.04, 0.25, 0.16666666666666666, 0.3333333333333333, 0.5, 0.5, 0.07142857142857142, 0.14285714285714285, 0.3333333333333333, 0.25, 0.16666666666666666, 0.25, 0.3333333333333333, 0.04, 0.1111111111111111, 0.16666666666666666, 0.5, 0.5, 0.15384615384615385, 0.14285714285714285, 0.3333333333333333, 0.25, 0.16666666666666666, 0.25, 0.3333333333333333, 0.04, 0.1111111111111111, 0.16666666666666666, 1.0, 0.07692307692307693, 0.16666666666666666, 0.5, 0.3333333333333333, 0.2, 0.3333333333333333, 0.5, 0.041666666666666664, 0.125, 0.2, 0.07692307692307693, 0.16666666666666666, 0.5, 0.3333333333333333, 0.2, 0.3333333333333333, 0.5, 0.041666666666666664, 0.125, 0.2, 0.05555555555555555, 0.07142857142857142, 0.06666666666666667, 0.125, 0.14285714285714285, 0.07142857142857142, 0.05714285714285714, 0.10526315789473684, 0.125, 0.14285714285714285, 0.2857142857142857, 0.1, 0.125, 0.14285714285714285, 0.034482758620689655, 0.16666666666666666, 0.1, 0.25, 0.16666666666666666, 0.25, 0.3333333333333333, 0.04, 0.1111111111111111, 0.16666666666666666, 0.14285714285714285, 0.2, 0.25, 0.08, 0.1, 0.14285714285714285, 0.6, 0.16666666666666666, 0.16, 0.18181818181818182, 0.42857142857142855, 0.25, 0.08, 0.2222222222222222, 0.6, 0.04, 0.1111111111111111, 0.16666666666666666, 0.06666666666666667, 0.11538461538461539, 0.18181818181818182]",0.6,"[0.0, 0.26666666666666672, 0.61904761904761907, 0.8666666666666667, 0.87619047619047619, 0.97142857142857153, 0.99047619047619051, 0.99047619047619051, 0.99047619047619051, 1.0]"
6,Make pretty cool little pictures appear on a white surface,1330,"set([u'surfac', u'appear', u'pretti', u'pictur', u'make', u'littl', u'white', u'cool'])","[0.25, 0.3333333333333333, 0.2, 0.06666666666666667, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.5, 0.25, 0.15384615384615385, 0.5, 0.5, 0.5, 0.3333333333333333, 0.07692307692307693, 1.0, 1.0, 1.0, 0.06666666666666667, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.07692307692307693, 0.07692307692307693, 0.07692307692307693, 1.0, 1.0, 1.0]",0.4,"[0.0, 0.21428571428571425, 0.2857142857142857, 0.64285714285714279, 0.64285714285714279, 0.7857142857142857, 0.7857142857142857, 0.7857142857142857, 0.7857142857142857, 1.0]"
7,"Use it as a canvas for art, as it reacts to touch.",1424,"set([u'canva', u'react', u'use', u'art', u'touch'])","[0.5, 0.03225806451612903, 0.3333333333333333, 0.09090909090909091, 0.03333333333333333, 0.5, 0.1, 0.06666666666666667, 0.08108108108108109, 0.09090909090909091]",0.4,"[0.0, 0.70000000000000007, 0.70000000000000007, 0.80000000000000004, 0.80000000000000004, 1.0, 1.0, 1.0, 1.0, 1.0]"
8,Fabric posters that change display,2018,"set([u'poster', u'chang', u'fabric', u'display'])","[0.041666666666666664, 0.09090909090909091, 0.05555555555555555, 0.06060606060606061, 0.024390243902439025, 0.2608695652173913]",0.6,"[0.0, 0.83333333333333337, 0.83333333333333337, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
9,use to project paintings in frames so you can change the art at whim,2123,"set([u'use', u'whim', u'art', u'frame', u'project', u'paint', u'chang'])","[0.03333333333333333, 0.06666666666666667, 0.06451612903225806, 0.0625, 0.03333333333333333, 0.058823529411764705, 0.5, 0.3333333333333333, 0.25, 1.0, 0.041666666666666664, 0.25, 0.2, 0.5, 0.04, 0.16666666666666666, 0.3333333333333333, 0.08, 0.25, 0.037037037037037035, 0.041666666666666664]",0.4,"[0.0, 0.52380952380952372, 0.61904761904761907, 0.85714285714285721, 0.85714285714285721, 0.95238095238095233, 0.95238095238095233, 0.95238095238095233, 0.95238095238095233, 1.0]"
